ad_id,source_url,scraped_at,title,price_nok,tilstand,merke,kjonn,sykkeltype,brand,model,year,framesize,wheel_size,groupset,carbon_frame,carbon_wheels,electronic_shifting,description,location
"450736924","https://www.finn.no/recommerce/forsale/item/450736924","2026-03-02T15:24:19.843Z","CANYON Aeroad CF SLX 8.0 DI2","52000","Som ny - Ikke synlig brukt","Canyon","Unisex","Landevei","Canyon","Aeroad CF SLX 8.0 Di2","","L","","Shimano Ultegra Di2","true","true","true","Nydelig CANYON Aeroad CF SLX 8.0 DI2 luftes for salg med to sett med felger og dekk. EiT sett med ultegra treningssett og EiT par med fullkarbon sett. er blitt lagret inne etter hver bruk og vaskes og god vedlikehold. Ser ikke at den er brukt. Størrelse L. Mye utstyr selges med sykkelen på grunn av bolig. Inkludert Garmin sykkelcomputer. Pris er diskuterbart.","5582 Ølensvåg"
"413731731","https://www.finn.no/recommerce/forsale/item/413731731","2026-03-02T15:24:36.501Z","BMC TEAM MACHINE SLR FOUR - SYKKELPAKKE MED WAHOO KICKR CORE OG KOFFERT","45000","Pent brukt - I god stand","Andre merker","Herre","Landevei","BMC","Teammachine SLR Four","","58","700c","SRAM Rival AXS","true","false","true","Fantastisk sykkel med masse tilbehør søker ny eier. Den er 1,5 år gammel og har gått totalt ca. 3000 km. 790 KM. har vært på rulle. (medfølger) 2020 KM. har vært utendørs Det har aldri vært noe feil med den og den har hatt totalt 2 servicer i fjor. Den første servicen ble tatt når den gikk fra innendørs bruk til vei. Den andre ble utført i mai-måned. Den har blitt grundig vasket etter hver tur. Noen få bruksmerker har den, men den har aldri vært i velt eller krasj. Sykkelen har passet perfekt til meg som er 1.88 m. høy og veier 95 kg. Pedaler (EXUSTAR) følger med og her har jeg også et nytt cleats sett som passer til. Burde sees og prøves! Pakken inneholder følgende: 1. BMC TEAM MACHINE SLR FOUR STR. 58 2. WAHOO KICKR CORE M.SWIFT ADAPTER 3. B&W INTERNATIONAL HARD CASE SYKKELKOFFERT. 4. MASSE TILBEHØR MEDFØLGER, SOM: 2 STK. SHIMANO CLEATS, EXUSTAR CLEATS, 2 SLANGER, NY OG UBRUKT SETETASKE, SPIUK SYKKELSKO STR. 45. 1. Litt om sykkelen: BMC Teammachine SLR FOUR har en lett og stiv karbonramme med Aerocore Design, som gir optimal aerodynamikk og ytelse. Rammen har Stealth Dropout Design, TCC Race Compliance Level, PF86 kranklager, flat mount-skivebremsfeste og en 12x142mm gjennomgående aksel. Den er også optimalisert for Aerocore flaskeholdere for å redusere luftmotstanden ytterligere. GIR Sykkelen er utstyrt med et SRAM RIVAL AXS 2x12 girsystem, med et 48-35T kjedehjul og en 10-36T kassett. Dette gir deg et bredt spekter av girvalg for å takle ulike terreng og stigninger. SRAM RIVAL 12-speed kjede og eTap AXS HRD girskiftere sørger for presis og sømløs giring. BREMSER BMC Teammachine SLR FOUR har kraftige SRAM Rival eTap AXS HRD-skivebremser med Centerline X rotorer i størrelse 160/160 mm. Dette gir deg pålitelig bremseytelse under alle forhold, slik at du kan sykle med selvsikkerhet og kontroll. DEKK Sykkelen er utstyrt med slitesterke Vittoria Rubino-dekk i 25mm bredde, som gir godt grep og komfort på veien. Med en dekklaring på 30mm målt bredde, har sykkelen plass til litt bredere dekk for ekstra komfort og grep på variert underlag. GAFFEL Teammachine SLR FOUR har en Teammachine SLR karbongaffel med TCC Race Compliance Level, intern kabelføring, flat mount-skivebremsfeste, Stealth Dropout Design og en 12x100mm gjennomgående aksel. Dette gir responsiv styring og stabilitet under ritt og trening. 2. Litt om Wahoo Kickr Core: Kickr Core Zwift Bundle – Den Ultimate Innendørs Treningsløsningen Oppdag Kickr Core Zwift Bundle, en perfekt pakke for syklister som ønsker å ta treningen sin til neste nivå. Denne bundlen inkluderer Kickr Core sykkelrulle med Zwift Cog, og gir deg alt du trenger for en realistisk og motiverende treningsopplevelse. Hva Inkluderer Bundlen? Kickr Core sykkelrulle er utstyrt med avansert teknologi som gir presis motstandsjustering og en autentisk syklingopplevelse. Med en robust stålkonstruksjon er den laget for å tåle intensive treningsøkter og gir stabilitet under alle forhold. Realistisk Motstand og Integrasjon med Zwift Med Kickr Core kan du enkelt koble deg til Zwift, hvor rullen automatisk tilpasser motstanden basert på ruten og programvaren. Dette gir en unik mulighet til å trene i et virtuelt miljø, konkurrere med andre og delta i ritt fra hele verden. Mål Fremgangen Din Nøyaktig Bundlen gir deg tilgang til viktige sykkeldata som watt, kadens og hastighet, noe som hjelper deg med å overvåke prestasjonen din og tilpasse treningsøktene for best mulig fremgang. Enkel Oppsett og Bruk Kickr Core er enkel å installere og er kompatibel med de fleste sykler, noe som gjør det til en praktisk løsning for enhver syklist. Ta Treningen Din til Neste Nivå Med Kickr Core Zwift Bundle får du en komplett løsning for innendørs sykling. Opplev fordelene med effektiv trening hjemme, og bli en del av det voksende Zwift-fellesskapet. Bestill din bundle i dag og start reisen mot bedre prestasjoner! Funksjoner: Zwift Cog: Kompatibel med nesten alle 8-12-delte sykler, låser opp maksimal kompatibilitet og holder vedlikeholdet til et minimum. Zwift Click: Kontrollerer de virtuelle girene og festes på et hvilket som helst styre sømløst. Gir intuitivt virtuelt gir med fingertuppene. Virtuell giring: Stillegående, jevn og konsekvent - den virtuelle giringen gjør sykkelen din til en smart sykkel. Automatisk motstand matcher realistisk gradienten til den virtuelle veien. Du glir ned bakker og vil føle hver stigning. Leverer er uovertruffen innendørs sykkelopplevelse. Kraftmåler: I hjertet av Wahoo Kickr Core Zwift One lgiger kraftmåleren, som øker treningen din med skreddersydde treningsøkter og nøyaktige treningsdata. Spesifikasjoner: Maksimal kraft: 1800 watt Maksimal simulert stigning: 16% Maksimal simulert nedstigning: 10% Produktvekt: 18kg Drivverk: Remdrift Motstandstype: Elektromagnetisk Kraft nøyaktighet: +/-2% Tilkobling: ANT+, ANT+ FE-C og opptil tre Bluetooth tilkoblinger Inkluderer: Forhåndsinnstalert Zwift COG (14T enkelt drev) Kompatible aksling typer: 130/135mm QR, 12x142, og 12x148 Thru Axle Adaptere inkludert: 130/135mm QR adapter å nav spacer, 12x142/148 adapter å nav spacer Maksimal ryttervekt: 113kg Zwift Click: Bluetooth-kommunikasjon; CR2032 batteridrevet Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","3121 Nøtterøy"
"453463150","https://www.finn.no/recommerce/forsale/item/453463150","2026-03-02T15:24:37.732Z","Trek Madone Two Series landeveissykkel 52 cm unisex rød","7000","Pent brukt - I god stand","Trek","Unisex","Landevei","Trek","Madone Two Series","","52cm","700c","Shimano","false","false","false","Trek Madone Two Series landeveissykkel i unisex-størrelse med 52 cm ramme. Sykkelen har lett ramme med H2-geometri, egnet for landeveiskjøring. Den er utstyrt med Shimano-komponenter, blant annet krank og bakgir, samt smale landeveisdekk tilpasset asfalt. Fargekombinasjonen er hovedsakelig rød med hvite og svarte detaljer. Passer for syklister som ønsker en landeveissykkel til trening og turbruk på vei.","7506 Stjørdal"
"453447889","https://www.finn.no/recommerce/forsale/item/453447889","2026-03-02T15:24:38.884Z","Ridley karbon landeveissykkel","7000","Som ny - Ikke synlig brukt","","Unisex","Landevei","Ridley","","","","","","true","false","false","Lite brukt, som ny Ridley karbon landeveissykkel selges.","0590 Oslo"
"426259765","https://www.finn.no/recommerce/forsale/item/426259765","2026-03-02T15:24:40.221Z","Nor Kapp Superlight – Ultegra Di2","14000","Godt brukt - Synlig brukt","","Unisex","Landevei","Nor","Kapp Superlight","","","","Shimano Ultegra Di2","false","false","true","Selger en Nor Kapp Superlight landeveissykkel med Shimano Ultegra Di2 og 11-delt kassett. Dette er en lett og responsiv sykkel som passer svært godt både til strukturert trening og lange turer. Sykkelen veier ca. 7,3 kg uten pedaler og passer rytter mellom 170–180 cm. Gruppesettet har fått flere oppgraderinger de siste årene: – Krank byttet for 2 år siden – Kjede byttet for 1 år siden – Bakgir byttet for 1 år siden – Styrelager byttet for 1 år siden Sykkelen er noen år gammel og har normale bruksmerker. Bremseklossene begynner å bli slitt og bør byttes på sikt. Det er også noe kast i bakhjulet (se bilde 7 og 8), noe som kan justeres eller tas i forbindelse med service. Ekstra stem, computer-feste og lader følger med. Alt i alt en lett og solid landeveissykkel med gode komponenter og mye bruk igjen. Klar for ny eier 🚴 Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","4032 Stavanger"
"453439240","https://www.finn.no/recommerce/forsale/item/453439240","2026-03-02T15:24:41.303Z","Cinelli landeveissykkel 57 cm 27,5"" rød","6700","Pent brukt - I god stand","","","Landevei","Cinelli","","","57cm","27.5""","","false","false","false","Cinelli landeveissykkel med rammehøyde 57 cm og 27,5"" hjul. Sykkelen har klassisk racergeometri med bukkestyre og felgbremser. Rammen er i lett materiale egnet for landeveiskjøring. Utstyrt med dobbel krank og girsystem tilpasset trening og turbruk på asfalt. Passer for brukere som ønsker en tradisjonell landeveissykkel med smale dekk og effektiv sittestilling. Kan sendes etter avtale.","5221 Nesttun"
"453431578","https://www.finn.no/recommerce/forsale/item/453431578","2026-03-02T15:24:42.418Z","Giant OCR3 landeveissykkel L 28""/700c unisex gul","6000","Pent brukt - I god stand","Giant","Unisex","Landevei","Giant","OCR3","","L","700c","Campagnolo Centaur","false","false","false","Giant OCR3 landeveissykkel i størrelse L for unisex bruk. Sykkelen har 28""/700c hjul og klassisk racersykkelgeometri med bukkestyre. Rammen er i gul farge med detaljer i grått og svart. Sykkelen er utstyrt med felgbremser foran og bak, og har girsystem med bakgir fra Campagnolo Centaur. Pedaler med tåklips er montert. Passer til landeveissykling og trening på asfalt. Dekk har bare gått en sesong ( Continental ) Bremseklosser ble også byttet da. Jeg er 194 cm høy, den passet fint til meg.","1814 Askim"
"438286422","https://www.finn.no/recommerce/forsale/item/438286422","2026-03-02T15:24:43.850Z","Merida Ride Disc CF 7000 Karbon Ram Shimano Ultegra komponenter 59cm (L/XL)","14999","Som ny - Ikke synlig brukt","Merida","Unisex","Landevei","Merida","Ride Disc CF 7000","2017","59cm","700c","Shimano Ultegra","true","false","false","RIDE DISC 7000 Karbon Ram Ultegra komponenter Str. 59cm (L/XL) En fantastisk lett carbon sykkel for asfalt og grusveier. 2017 ubruket 6 år. Endurance bike with high-end components and shimano mechanical disc brakes. Weight quoted 8,4 kg Fork Carbon Wheels 700c Aluminum Drivetrain 2 × 11 Groupset Ultegra Brakes Shimano Mechanical Disc Geometry frame size 59cm Wheels 700c Stack 634 Reach 401 Stack/Reach Ratio 1,58 Top Tube Length 585 Seat Tube Length 590 Seat Tube Angle 73,0 Head Tube Length 230 Head Tube Angle 73,0 BB Drop 69 BB Height 267 Front Center 617 Chainstay Length 412 Wheelbase 1.019 Rake 37 Trail 65 Standover Height 897 Frame RIDE DISC CF2 BB Standard: BB86/BB92, Press Fit Fork Race carbon disc 15 Bottom Bracket BB86/BB92, press-fit Headset FSA No. 55EP Handlebar FSA Energy Compact OS Saddle Prologo Scratch 2 T2.0 Rear Derailleur Shimano Ultegra GS Front Derailleur Shimano Ultegra D Crank Shimano Ultegra 50-34 (BB86) Shifters Shimano ST-RS685 Cassette Shimano CS-6800-11 11-32 Chain KMC X11EL Brakes Shimano RS785 160 / Shimano RS785 160 Type: Shimano Mechanical Disc Brake Levers Shimano RS685 Rims DT Swiss R24 Spline cen/disc F15 https://99spokes.com/en-EU/bikes/merida/2016/ride-disc-7000 Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","1365 Blommenholm"
"453431234","https://www.finn.no/recommerce/forsale/item/453431234","2026-03-02T15:24:45.199Z","Helt ny Cube Norge sykkel – 0 km, keramisk beskyttelse","53000","Helt ny - Uåpnet/med lapp","Cube","Herre","Landevei","Cube","Litening AERO C:68X Race","2025","","700c","Shimano Ultegra Di2","true","true","true","Beskrivelsen er hentet fra Cube Norge. Hos CUBE vet vi at hvert sekund teller. Derfor har vi bygget Litening AERO C:68X Race rundt en UCI-godkjent ramme som reduserer luftmotstanden med hele 30 % – og utstyrt den med en Shimano Ultegra-krank med wattmåler. Newmen Advanced STREEM-hjulene har aeroprofiler med lavere høyde foran for å redusere effekten av sidevind. De nye Shimano Ultegra Di2 2x12-girene byr på et bredt spekter og kompromissløs pålitelighet. Kombinert med matchende Ultegra hydrauliske skivebremser kan du bremse senere – og dermed sykle enda raskere. Det er ingen tvil – dette er fart. Regler er regler. En racersykkel må være innenfor UCI-standardene for å kunne delta i ritt. Men å designe en ramme som er betydelig mer aerodynamisk – uten å bryte reglene? Det er helt lovlig. Den lette karbonrammen til Litening AERO C:68X, bygget i vårt premium C:68X®-materiale, er utviklet gjennom omfattende CFD-analyser og vindtunneltester. Resultatet er en 30 % reduksjon i luftmotstand, i en fullt UCI-godkjent ramme der gaffel, stem, styre og setepinne er elegant integrert. Den er også svært komfortabel, klar for wattmåler, og har klaring for dekk opptil 28 mm. Men aller mest er den ekstremt rask. Spesifikasjoner: FRAME Litening C:68X® Aero Monocoque Advanced Twin Mold Technology, Aero Optimized Tubes, Full Internal Cable Routing, Flat Mount Disc SIZE 50cm, 52cm, 54cm, 56cm, 58cm, 60cm RIGID FORK Litening C:68X® Aero, Integrated Cable Routing, Flat Mount Disc BRAKE SYSTEM Shimano Ultegra BR-R8170, Hydr. Disc Brake, Flat Mount (160/160) REAR DERAILLEUR Shimano Ultegra Di2 RD-R8150-DGS. 12-Speed FRONT DERAILLEUR Shimano Ultegra Di2 FD-R8150-F SHIFT/ BRAKE LEVERS Shimano Ultegra Di2 ST-R8170 CRANKSET Shimano Ultegra FC-R8100-P, Powermeter, Hollowtech ll, 52x36T CASSETTE Shimano Ultegra CS-R8100, 11-30T CHAIN Shimano CN-M8100 WHEELSET Newmen Advanced SL.R 50/65 Streem, Carbon TYRES Schwalbe Pro One, Tubeless Easy, 28-622 INTEGRATED BAR/ STEM ICR Aero Cockpit System, Integrated Cable Routing, Aero Spacer System, Garmin/Wahoo Mount Interface HANDLEBAR TAPE ACID Bartape RD SEAT POST Litening C:68X® Aero, Comfort Flex SADDLE Natural Fit Nuance SLT Road Carbon HEADSET ACROS, Top Integrated 1 1/8"", Bottom Integrated 1 1/4"" WEIGHT 7,8 kg COLOUR teamline Selger den fordi den er for stor og ikke passer. Kjøpskvittering fra Cube Norge (kjøpt i september 2025, aldri brukt på asfalt). Garanti og alt inkluder.Jeg har betalt 59.000kr med frakt. Den som kjøper sparer 10.000 kr. Har keramisk behandling fra Muc-Off Har Cube- og Trek-flasker med holdere, Garmin GPS-feste og pedaler. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","5212 Søfteland"
"453415559","https://www.finn.no/recommerce/forsale/item/453415559","2026-03-02T15:24:46.341Z","Pinarello Prince (som Ny) Di2 el-gir, full-carbon","29000","Som ny - Ikke synlig brukt","","Unisex","Landevei","Pinarello","Prince Ticr Disc","2021","M","","Shimano Ultegra Di2","true","true","true","Sykkelen er som Ny og bare testet. Sykkelen er kun brukt 3 ganger. Nypris er 69 999kr Pinarello Prince Ticr Disc 2021 Str: M - Fullcarbon, nesten alt på sykkelen er carbon. Til og med spilene er i carbon. - Shimnao Ultegra Di2 El- gir - Racing gemoteri Sykkelen kan fraktes Link til sykkelen: https://www.aktivute.no/landevei-racing/104817/pinarello-prince-ticr-disc-2021-54-5-cm-racing-geometri-farge-214-hvit?srsltid=AfmBOoqLz6yIBL1ba_cNyStNWbV6osu_0FMfye2CMpff85GCOJc_ow42 Søkeord: specialized, trek, medium, 54, 53, 52, 51, 51, 49, karbon, elektriske gir, sram axs Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","5535 Haugesund"
"453407263","https://www.finn.no/recommerce/forsale/item/453407263","2026-03-02T15:24:47.456Z","Landeveissykkel","15000","Pent brukt - I god stand","Canyon","Unisex","Landevei","Canyon","","","","700c","","false","false","false","Selger en pen og velholdt Canyon landeveissykkel i hvit utførelse. Lett og responsiv sykkel som passer perfekt til både trening, ritt og lange turer. Sykkelen er oppgradert med tempobøyle som enkelt kan tas av om ønskelig. Følger også med et par med treningshjul samt de som er på sykkelen, flaskeholdere og feste til garminklokke. Har stått på rulle den siste tiden. Passet fint meg som er 186cm høy. Utstyr: • Canyon aluminiumsramme • Karbongaffel • Mekanisk giring • Dype hjul (aero-profil) • Ritchey styre, stem og setepinne • Flaskeholdere følger med Sykkelen fungerer som den skal og girer og bremser fint. Normal bruksslitasje må påregnes. Passer fint til deg som vil ha en rask landeveissykkel uten å betale nypris. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","9020 Tromsdalen"
"453403484","https://www.finn.no/recommerce/forsale/item/453403484","2026-03-02T15:24:48.554Z","Giant Propel str Large","33000","Pent brukt - I god stand","Giant","Unisex","Landevei","Giant","Propel","","Large","","SRAM Red/Force","false","false","true","Pent brukt Giant Propel str Large Sram Red/Force trådløse gir. Wattmåler i krank. Mavic Allroad hjul Sykkelen framstår i super stand. Selges gjennom sykkelbutikken Sykkologen på Lillehammer, hvor sykkelen også er gjennomgått.","2609 Lillehammer"
"453402919","https://www.finn.no/recommerce/forsale/item/453402919","2026-03-02T15:24:49.642Z","Hardrocx Super Electra Disc 2019 - landeveissykkel","35000","Godt brukt - Synlig brukt","","Unisex","Landevei","Hardrocx","Super Electra Disc","2019","54 cm","700c","Shimano Ultegra Di2","true","true","true","Her har du komplett sykkel med wattmåler, elektrisk gir, skivebrems og karbonhjul! Flere bilder kommer! Høydepunkter: Stages Wattmåler L krankarm Dura-Ace Komplett 11-delt Ultegra Di2 elektrisk gir Unaas 55mm karbonhjul med GP5000 skinwall dekk Nyservet med nye hjul-lagre, kranklager, styrelager, kjede og bremseklosser. Nypris ca 70.000 Ramme: RR8 Disc karbon Gaffel: HR RR Carbon P3 Disc Hjulsett: Unaas LTD 55mm karbonhjul Disc - DT E-1800 Spline DB23 Gir bak: Shimano Ultegra Di2 Frikrans: Shimano Ultegra inkl Oval drev Pedaler: Selges uten Styre: Ritchey WCS EVO Curve Sadelpinne: Ritchey WCS Carbon Sadel: Selle Italia SLS Utveksling: 11/32 – 36/52T Rammestørrelser: 54 cm Vekt: Ca 8 kg. m/ slanger sykkel, landevei, karbon, wattmåler, karbonhjul, skivebrems, disc, unaas, hardrocx, stages, triatlon, karbonramme, ultegra, shimano, di2, elektrisk Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","7017 Trondheim"
"416600931","https://www.finn.no/recommerce/forsale/item/416600931","2026-03-02T15:24:50.695Z","Bianchi Sempre B4P Monoque - str 56","13000","Pent brukt - I god stand","Bianchi","Herre","Landevei","Bianchi","Sempre B4P Monoque","2013","56","700c","","true","false","false","Selger en Bianchi Sempre B4P monoque sykkel fra 2013. Kjøpt fra G-sport Hamar i sin tid. Veldig mye sykkel igjen for en entusiast som kanskje har lyst å teste en sykkel, men ikke legge hele feriebudsjettet i potten ;) Selges med orginale Bianchi felger fra Reparto Corso og 25mm dekk. Sykkelen fremstår brukt, men fin. Selges uten pedaler, men med drikkeflaske holdere. Dette er en fullkarbon utgave fra Bianchi i str 56. Passer fint for høyde 177-187cm! Kom å ta en titt om du ønsker","2616 Lismarka"
"453397732","https://www.finn.no/recommerce/forsale/item/453397732","2026-03-02T15:24:51.755Z","Canyon Inflite 8.0 str Large","10000","Pent brukt - I god stand","Canyon","Herre","Landevei","Canyon","Inflite 8.0","","L","","Shimano 105/Ultegra","false","false","false","Allround landeveissykjel med god klaring til brede dekk. Det gir mulighet til å gjøre den til en gravelsykkel og dermed den perfekte pendlersykkel. Nå står det continental 4 season 28 mm på den. Sykkelen blir brukt til treningsturer og oppleves komfortabel og responsiv. Lett å vedlikeholde og helt klar for sesongen. 105 og Ultegra komponerer. Selges som på bildene.","4003 Stavanger"
"429230265","https://www.finn.no/recommerce/forsale/item/429230265","2026-03-02T15:24:52.835Z","Nakamura Pursuit SL karbon racersykkel","25000","Pent brukt - I god stand","","Unisex","Landevei","Nakamura","Pursuit SL","2022","L","700c","","true","false","false","Ny i 22 og lite brukt. Loggført 700 km. Fremstår svært pen og uten mangler. Størrelse L. Følgende oppgraderinger/påkostninger er gjort: Pro Discovery styre med Pro styretape. Pro Stealth sete. Panaracer Gravelking 32 mm tubeless. Stages wattmåler. Ritchey setepinne karbon. Selges uten flaskeholder i stål.","7603 Levanger"
"401208177","https://www.finn.no/recommerce/forsale/item/401208177","2026-03-02T15:24:53.986Z","Cannondale Synapse 52”","9000","","Cannondale","Herre","Landevei","Cannondale","Synapse","","52","","Shimano Ultegra","true","false","false","Selger landeveisykkel pga innkjøp av ny. Sykkelen har karbonramme, karbonkrank og uti fra hva jeg kan se så er den utsyrt med ultegra på gir og brems. Pedaler følger ikke med.","5170 Bjørndalstræ"
"453385442","https://www.finn.no/recommerce/forsale/item/453385442","2026-03-02T15:24:55.435Z","Cube GTC SL","12000","Pent brukt - I god stand","Cube","Unisex","Landevei","Cube","Agree GTC SL","","56","700c","Shimano Ultegra 6800","true","true","false","Godt vedlikeholdt Cube landeveissykkel selges. Komplett Ultegra 6800 gir og bremsepakke. Deda Zero 130mm stem. Originalt 110mm stem medfølger. Specialized Romin sete. Originalt Selle Italia medfølger. Conti GP 25mm dekk. Selges med to hjulsett; originalt DT Swiss og et karbon sett fra Aerlite (som avbildet) Størrelse 56. Jeg er 180 cm og passer godt, med det kortere stem’et passer den nok godt til de som er kortere også. Sykkelen er godt egnet til både nybegynnere og mer erfarne syklister. Review: https://www.bikeradar.com/reviews/bikes/road-bikes/cube-agree-gtc-sl-review/ Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","6520 Frei"
"367125996","https://www.finn.no/recommerce/forsale/item/367125996","2026-03-02T15:24:56.513Z","Colnago Landeveissykkel","21000","Pent brukt - I god stand","","","Landevei","Colnago","","","L","","","false","false","false","Selger min fars gamle Colnago landeveissykkel. Rammestørrelse L, 173 - 188 cm. Pent brukt. Send melding ved interesse.","0178 Oslo"
"359684041","https://www.finn.no/recommerce/forsale/item/359684041","2026-03-02T15:24:57.542Z","Ridley Helium RS - belgisk arbeidshest med retro look til salgs","13000","Pent brukt - I god stand","","Unisex","Landevei","Ridley","Helium RS","2015","Small (54)","700c","Campagnolo Chorus","true","false","false","Ridley Helium RS med Lotto sin retro lakkering fra Tour de France i 2014 til salgs. Rammen ble kjøpt i 2015, men hatt ulike grupper og hjul montert. Sykkelen ble bygget slik den står nå med mekanisk Campagnolo Chorus gruppe, Stages wattmåler og Campagnolo hjulsett i 2020. Spesifikasjoner - Ramme: Ridley Helium RS - Gaffel: Ridley 4ZA Helium - Styrelager: FSA No. 44 - Bakgir: Campagnolo Chorus - Forgir: Campagnolo Chorus - Hendler: Campagnolo Chorus - Krank: Campagnolo Chorus Ultra Torque 172,5 mm armer og 52/36 drev - Wattmåler: Stages Gen3 på venstre krankarm - Kranklager: Campagnolo IC15-RE46 - Kjede: Campagnolo Chorus 11-delt - Kassett: Campagnolo Chorus 12/29 - Bremser: Campagnolo Chorus Dual-pivot - Stem: Enve Carbon Road 100 mm (karbon) - Styre: Ritchey Comp Curve 40 cm senter-til-senter (aluminium) - Hjulsett: Campagnolo Zonda C17 clincher (aluminium) - Dekk: Continental GP 4000 S II 25 mm - Sete: Selle Italia SLR Titan - Setepinne: Ritchey Superlogic 1-bolt 27,2 x 350 mm og 25 mm setback (karbon) - Pedaler: Shimano Ultegra 6800 SPD-SL - Flaskeholdere: Arundel Stainless Ridley har brukt litt andre betegnelser på rammestørrelse enn andre produsenter. Rammen er i størrelse small, men målene og geometri tilsier at den kan sammenlignes med en 54-ramme. Rammen kan brukes med både mekaniske og elektriske grupper. Sykkelen er godt vedlikeholdt, men har noen bruksmerker her og der. Utover det fremstår den strøken. Sykkelen har alltid vært lagret inne og hyppig vasket. Eksisterende drivverk har gått svært kort, mange kilometer igjen før noe må byttes. Sykkelen selges med pedaler og flaskeholdere, men uten feste for computer. Akkurat nå står den uten styretape, men det vil bli lagt på helt ny sort Supacaz tape før den selges. Må hentes. GEOMETRI Stack = 545 mm Reach = 385 mm Stack to reach ratio = 1,42 Seterør (senter) = 470 mm Seterør (senter/topp) = 510 mm Overrør = 530 mm Overrør (virtuell/horisontalt målt) = 545 mm Styrerør = 145 mm Vinkel seterør = 73,5 grader Vinkel styrerør = 73 grader Kjedestag = 405 mm BB drop = 66 mm Akselavstand = 977 mm Stå-over-høyde = 750 mm Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","1349 Rykkinn"
"453374186","https://www.finn.no/recommerce/forsale/item/453374186","2026-03-02T15:24:58.626Z","TREK MADONE 6.9 full karbon","14999","Godt brukt - Synlig brukt","Trek","Herre","Landevei","Trek","Madone 6.9","","M","700c","Shimano Dura-Ace","true","true","false","Trek landevei sykkel for herre. Sykkelen har en ramme og komponenter egnet for landeveissykling, og er designet for bruk på asfalt. Originalt DURA ACE gir system, men noen deler byttet ut i august med andre modeller fra shimano som er mer slite sterke og egnet for oss som vil begynne med sykling og ikke bruke masse penger på å bytte deler som er laget for å prestere, men heller tar et alternativ som holder og prestere mer enn bra nok. Det som er byttet ut er helt ubrukt og fikk ikke brukt sykkelen etter den var på service. Følgende: Det er derfor byttet følgende deler fordi det trengtes og det var ikke mulig å få tak i dura ace til denne sykkelen lenger: - Kasett - Girvaier venstre - Bakskifter - Fremdrev - Høyre bremse/gire hendel I tillegg: - Kommer med styreteip relativt ny - Karbon hjul - Full carbon ramme med vekt på under 7kg totalt på hele sykkelen - Følger med Look pedaler - Størrelsen ca M er egnet for 175-183 (litt smak og behag) Jeg er 180 og sitter veldig fint på denne. Skulle gjerne kjørt denne sykkelen til den falt fra hverandre men grunnet flytting og studie liv må jeg se meg nødt til å selge den :-( Du vil og få med på kjøpet: - 3 stk GP4000 dekk der 2 av de er helt nye og 1 er brukt men har fortsatt en del km igjen i seg - 1 stk styreteip i tilfelle det må byttes etterhvert - Computeren som er vist på bildene - 1 stk frem drev av typen dura ace, brukt men fint å ha i reserve (se siste bilde) Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","4630 Kristiansand S"
"443830414","https://www.finn.no/recommerce/forsale/item/443830414","2026-03-02T15:24:59.711Z","Canyon Speedmax CF Small","35000","Pent brukt - I god stand","Canyon","Unisex","Landevei","Canyon","Speedmax CF","","S","","Shimano Di2","true","true","true","Canyon Speedmax Small Beautiful and fast triathlon bike. Integrated breaks. Di2. I am selling because, as can be seen on the picture, I have the same bike in M am keeping that one. The bike comes with both sets of wheels, including a disk wheel + tri spoke from HED which is extremely fast. The other set is in carbon and extremely lightweight, better for steep courses. A few components will be switched between the two bikes, I will soon update the pictures.","4014 Stavanger"
"453363922","https://www.finn.no/recommerce/forsale/item/453363922","2026-03-02T15:25:00.911Z","S-works Aethos - Størrelse 54 - Vurderes solgt","25000","Som ny - Ikke synlig brukt","Specialized","Unisex","Landevei","Specialized","S-Works Aethos","","54","","Shimano Dura-Ace Di2","true","false","true","Vuderes solgt, lite brukt. Kan enkelt bygge en sykkel godt under uci grensa med denne ramma. Pris: Rammesett 25000 kr (nypris 70000) Evnt med specialized originalt s-works karbon styre, specialized karbon sete, dura ace di2 11 delt gruppe med quarq wattkrank 45000 kr","4024 Stavanger"
