ad_id,source_url,scraped_at,title,price_nok,tilstand,merke,kjonn,sykkeltype,brand,model,year,framesize,wheel_size,groupset,carbon_frame,carbon_wheels,electronic_shifting,description,location,condition_score,groupset_tier,brand_tier,year_num,bike_age,framesize_cm,price_predicted,price_residual_pct,model_label,deal_label
426259765,https://www.finn.no/recommerce/forsale/item/426259765,2026-03-02T15:24:40.221Z,Nor Kapp Superlight – Ultegra Di2,14000.0,Godt brukt - Synlig brukt,,Unisex,Landevei,Nor,Kapp Superlight,,,,Shimano Ultegra Di2,0,0,1,"Selger en Nor Kapp Superlight landeveissykkel med Shimano Ultegra Di2 og 11-delt kassett. Dette er en lett og responsiv sykkel som passer svært godt både til strukturert trening og lange turer. Sykkelen veier ca. 7,3 kg uten pedaler og passer rytter mellom 170–180 cm. Gruppesettet har fått flere oppgraderinger de siste årene: – Krank byttet for 2 år siden – Kjede byttet for 1 år siden – Bakgir byttet for 1 år siden – Styrelager byttet for 1 år siden Sykkelen er noen år gammel og har normale bruksmerker. Bremseklossene begynner å bli slitt og bør byttes på sikt. Det er også noe kast i bakhjulet (se bilde 7 og 8), noe som kan justeres eller tas i forbindelse med service. Ekstra stem, computer-feste og lader følger med. Alt i alt en lett og solid landeveissykkel med gode komponenter og mye bruk igjen. Klar for ny eier 🚴 Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",4032 Stavanger,2.0,4,2,,5.0,54.0,26679.05,-47.524369908095906,good_deal,Good deal
453407263,https://www.finn.no/recommerce/forsale/item/453407263,2026-03-02T15:24:47.456Z,Landeveissykkel,15000.0,Pent brukt - I god stand,Canyon,Unisex,Landevei,Canyon,,,,700c,,0,0,0,"Selger en pen og velholdt Canyon landeveissykkel i hvit utførelse. Lett og responsiv sykkel som passer perfekt til både trening, ritt og lange turer. Sykkelen er oppgradert med tempobøyle som enkelt kan tas av om ønskelig. Følger også med et par med treningshjul samt de som er på sykkelen, flaskeholdere og feste til garminklokke. Har stått på rulle den siste tiden. Passet fint meg som er 186cm høy. Utstyr: • Canyon aluminiumsramme • Karbongaffel • Mekanisk giring • Dype hjul (aero-profil) • Ritchey styre, stem og setepinne • Flaskeholdere følger med Sykkelen fungerer som den skal og girer og bremser fint. Normal bruksslitasje må påregnes. Passer fint til deg som vil ha en rask landeveissykkel uten å betale nypris. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",9020 Tromsdalen,3.0,0,3,,5.0,54.0,9300.171,61.287358735742316,bad_deal,Bad deal
359684041,https://www.finn.no/recommerce/forsale/item/359684041,2026-03-02T15:24:57.542Z,Ridley Helium RS - belgisk arbeidshest med retro look til salgs,13000.0,Pent brukt - I god stand,,Unisex,Landevei,Ridley,Helium RS,2015,Small (54),700c,Campagnolo Chorus,1,0,0,"Ridley Helium RS med Lotto sin retro lakkering fra Tour de France i 2014 til salgs. Rammen ble kjøpt i 2015, men hatt ulike grupper og hjul montert. Sykkelen ble bygget slik den står nå med mekanisk Campagnolo Chorus gruppe, Stages wattmåler og Campagnolo hjulsett i 2020. Spesifikasjoner - Ramme: Ridley Helium RS - Gaffel: Ridley 4ZA Helium - Styrelager: FSA No. 44 - Bakgir: Campagnolo Chorus - Forgir: Campagnolo Chorus - Hendler: Campagnolo Chorus - Krank: Campagnolo Chorus Ultra Torque 172,5 mm armer og 52/36 drev - Wattmåler: Stages Gen3 på venstre krankarm - Kranklager: Campagnolo IC15-RE46 - Kjede: Campagnolo Chorus 11-delt - Kassett: Campagnolo Chorus 12/29 - Bremser: Campagnolo Chorus Dual-pivot - Stem: Enve Carbon Road 100 mm (karbon) - Styre: Ritchey Comp Curve 40 cm senter-til-senter (aluminium) - Hjulsett: Campagnolo Zonda C17 clincher (aluminium) - Dekk: Continental GP 4000 S II 25 mm - Sete: Selle Italia SLR Titan - Setepinne: Ritchey Superlogic 1-bolt 27,2 x 350 mm og 25 mm setback (karbon) - Pedaler: Shimano Ultegra 6800 SPD-SL - Flaskeholdere: Arundel Stainless Ridley har brukt litt andre betegnelser på rammestørrelse enn andre produsenter. Rammen er i størrelse small, men målene og geometri tilsier at den kan sammenlignes med en 54-ramme. Rammen kan brukes med både mekaniske og elektriske grupper. Sykkelen er godt vedlikeholdt, men har noen bruksmerker her og der. Utover det fremstår den strøken. Sykkelen har alltid vært lagret inne og hyppig vasket. Eksisterende drivverk har gått svært kort, mange kilometer igjen før noe må byttes. Sykkelen selges med pedaler og flaskeholdere, men uten feste for computer. Akkurat nå står den uten styretape, men det vil bli lagt på helt ny sort Supacaz tape før den selges. Må hentes. GEOMETRI Stack = 545 mm Reach = 385 mm Stack to reach ratio = 1,42 Seterør (senter) = 470 mm Seterør (senter/topp) = 510 mm Overrør = 530 mm Overrør (virtuell/horisontalt målt) = 545 mm Styrerør = 145 mm Vinkel seterør = 73,5 grader Vinkel styrerør = 73 grader Kjedestag = 405 mm BB drop = 66 mm Akselavstand = 977 mm Stå-over-høyde = 750 mm Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",1349 Rykkinn,3.0,4,3,2015.0,11.0,54.0,14695.892,-11.539902766989577,ok_deal,OK deal
453363922,https://www.finn.no/recommerce/forsale/item/453363922,2026-03-02T15:25:00.911Z,S-works Aethos - Størrelse 54 - Vurderes solgt,25000.0,Som ny - Ikke synlig brukt,Specialized,Unisex,Landevei,Specialized,S-Works Aethos,,54,,Shimano Dura-Ace Di2,1,0,1,"Vuderes solgt, lite brukt. Kan enkelt bygge en sykkel godt under uci grensa med denne ramma. Pris: Rammesett 25000 kr (nypris 70000) Evnt med specialized originalt s-works karbon styre, specialized karbon sete, dura ace di2 11 delt gruppe med quarq wattkrank 45000 kr",4024 Stavanger,4.0,5,4,,5.0,54.0,33028.4,-24.30756202936157,good_deal,Good deal
453261427,https://www.finn.no/recommerce/forsale/item/453261427,2026-03-02T15:25:23.772Z,Ridley Noah RS - karbon Ultegra DI2 (M),12500.0,Pent brukt - I god stand,,Unisex,Landevei,Ridley,Noah RS,2013,M,,Shimano Ultegra Di2,1,0,1,"Ridley Noah 2013 Di2 , med Ridleys FAST‑teknologi (F‑Brake, F‑Splitfork, F‑Surface), har full karbonramme, intern kabelføring Ultegra Di2 10‑speed Ramme: 50/40/30‑ton high‑modulus karbonfiber for høy stivhet og lav vekt. BB30 kranklager og aero nedrør for maksimal kraftoverføring. Girsystem: Shimano Ultegra Di2, 2×10‑speed. Kranksett: Ultegra 6700, ofte 50/34 kompakt. Kassett: Ultegra 6700 12–25. Bremser: Ultegra 6700 (felgbremser). Integrert setemast (ISP) med maks kuttelengde på 70 mm. Str: M https://www.bikeroar.com/products/ridley/noah-1303am-ultegra-di2/specs",3117 Tønsberg,3.0,4,3,2013.0,13.0,54.0,23673.936,-47.19931557112809,good_deal,OK deal
421567923,https://www.finn.no/recommerce/forsale/item/421567923,2026-03-02T15:25:30.679Z,Ny pris. Scott Foil 10 2018,16000.0,Pent brukt - I god stand,Scott,,Landevei,Scott,Foil 10,2018,52,,Shimano Ultegra R8050 Di2,1,0,1,"Selger en Scott Foil 10 2018, sykkelen er i strl 52(s). Se str. guide under bilder. Sykkelen er utstyrt med full Ultegra R8050 di2 gruppe! Den er nesten ikke brukt de tre siste årene, og er jevnlig og bra vedlikeholdt. Lagret innendørs. Nypris på sykkelen er 49 990,- Litt info om sykkelen: - Foil FO1 Aero ramme i HMF karbon fiber - HMF karbon gaffel - Shimano Ultegra DI2 gruppe - Syncros karbon setepinne - Syncros komponenter - Syncros RR2,0 hjulsett Det er opprinnelige 120mm stem. Da jeg er litt kort i overkroppen har jeg satt på et på 90 mm. Begge kan medfølge. Styret må tapes opp på nytt. Pedaler og flaskeholdere følger ikke med. Det et bare å ta kontakt om det skulle være noe! Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",2611 Lillehammer,3.0,4,3,2018.0,8.0,52.0,23949.354,-33.19235114400351,good_deal,Good deal
453030748,https://www.finn.no/recommerce/forsale/item/453030748,2026-03-02T15:25:56.132Z,Dare VSRU -helt strøken,45000.0,Som ny - Ikke synlig brukt,,,Landevei,Dare,VSRU20,2023,XS,700c,Shimano Ultegra Di2,0,1,1,"Helt strøken landeveissykkel – DARE VSRU20 med Ultegra Di2. 2023 modell. Str XS- Dare er store i størrelse og den passer for høyde 170 cm pluss/minus ca 10 cm avhengig av sittestilling. Minimalt brukt- først av kvinnelig landslagsløper på skøyter og så av kona i fjor høst. Framstår så og si som ny, overhodet ingen skader eller feil. Spesifikasjoner: Ramme: VSRU20 – aerodynamisk og responsiv, perfekt for både trening og ritt Girgruppe: Shimano Ultegra Di2 12-delt – elektronisk giring som gir presise og pålitelige girskift Hjulsett: Helt nye 50 mm Superteam S-ALL Carbon D28-50 DISC Brake karbonhjul med 3,3 mm karboneiker-clincher tubeless ready- veid til 1370 g med felttape. Et meget godt hjulsett målt opp imot det aller meste. https://superteamwheels.com/products/s-all-carbon-d28-50-disc-brake?srsltid=AfmBOoqAD5heqeoJuIyGPzDSj-o1omJOsXaEe74oR7_itw13gdlnx94n Dekk: Contiental GP 5000 Drivverk: Ny ""Pogacar"" Ultegra krank med 165 mm krankarmer. 52/36. Nytt kjede. Ny kassett 11-34. Bremseskiver: Dura Ace 160mm/140 mm. Nytt sete: Selle Italia SLR LTD SUPERFLOW Lader til Di2 følger med. Sykkelen bør sees og ønsker at kjøper henter. Jeg reiser til Mallorca 12 mars og blir til slutten av april- kona er hjemme i deler av denne perioden. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",2450 Rena,4.0,4,1,2023.0,3.0,50.0,27999.852,60.71513771975911,bad_deal,OK deal
453005360,https://www.finn.no/recommerce/forsale/item/453005360,2026-03-02T15:25:59.326Z,Bottecchia 8AVIO Revolution – Str 58 – Shimano 105 – Karbon,15000.0,Pent brukt - I god stand,,Unisex,Landevei,Bottecchia,8AVIO Revolution,2020,58,700c,Shimano 105,1,0,0,"Selger en meget pen og velholdt Bottecchia 8AVIO Revolution landeveissykkel i størrelse 58. Dette er en rask og komfortabel karbonracer som passer perfekt til både trening, ritt og lange turer. Garmin computer og garmin varia feste følger med. Spesifikasjoner: • Størrelse: 58 (passer typisk ca. 180–190 cm, avhengig av benlengde) • Ramme: Full karbon • Girgruppe: Shimano 105 (2x11) • Skivebremser • Hjul: Fulcrum • Kjøpt ny i 2020 • Kun én eier • Selges uten pedaler Sykkelen er pent brukt og fremstår som godt vedlikeholdt. Ingen kjente skader på ramme. Normal bruksslitasje kan forekomme. Dette er en lett og responsiv sykkel med god kraftoverføring og stabil kjørefølelse – perfekt for deg som vil ha mye sykkel for pengene. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",2385 Brumunddal,3.0,3,1,2020.0,6.0,58.0,11037.306,35.90273257394732,bad_deal,OK deal
438559494,https://www.finn.no/recommerce/forsale/item/438559494,2026-03-02T15:26:12.594Z,Cervélo R5 Dura-Ace Di2 str. 54 - Toppmodell,30000.0,Pent brukt - I god stand,,Unisex,Landevei,Cervélo,R5,,54,700c,Shimano Dura-Ace R9150 Di2,1,1,1,"Cervélo R5 Team Sunweb med Dura-Ace Di2 felgbrems i størrelse 54 (medium) selges. Kom med bud! Siste generasjons Cervélo R5 med felgbrems, som ble brukt av blant annet Søren Kragh Andersen til seier på etappe 14 i Tour de France i 2020. Størrelse 54 (M). Jeg er 182 og sitter aggressivt, med 76cm setehøyde. Har en del å gå på oppover og nedover. Som nevnt utstyrt med 11-delt Shimano Dura-Ace R9150 Di2, altså elektriske gir. 53/39 drev og 11/32 kassett (Ultegra kassett). Sykkelen har det råeste av komponenter, med Pro Vibe Aero Superlight styre (nypris 4999), Pro Griffon sete med karbonrails og Pro Vibe stem på 135mm. Elite flaskeholdere og Garmin computerfeste følger også med. Nesten ubrukte Reynolds Attack 30mm karbonhjul gir sykkelen en fin finish. Continental Grand Prix 5000 dekk (clincher), 28mm bak og 25mm foran. Hjulene er tubeless ready. Sykkelen har noen kosmetiske bruksmerker her og der (eksempler på bildene), men er ellers i god stand. NB: lader til Di2 følger ikke med. Kan overleveres i Oslo ved nærmere avtale. Sykkelen kan sees på Brokelandsheia ved E18 i Gjerstad. Jeg foretrekker å møtes for salg. Klatresykkel racersykkel racer s5 r5 cannondale aero canyon pinarello zipp enve giant dare bianchi merida sram etap factor Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",4993 Sundebru,3.0,5,1,,5.0,54.0,34556.88,-13.18660437654813,ok_deal,Good deal
452354738,https://www.finn.no/recommerce/forsale/item/452354738,2026-03-02T15:26:56.324Z,TREK DOMANE/ EMONDA SL7 - BYTTET RAMME 58 (L),16500.0,Pent brukt - I god stand,Trek,Herre,Landevei,Trek,Domane/Emonda SL7,,58,,,1,1,0,"Strøken TREK Domane/ Emonda SL7 - Ramme størrelse 58 - Helt ny ramme (37.000,-) som er syklet med ca 500km, ny styre tape, nye wire og strømper til gir, bremser foran og bak, nye dekk i 2025 som har rullet 50km, helt ny kjede. Service utført av Sykkelcenteret Randaberg som har justert gir og sjekket sykkel slik at den fremstår strøken. Gir, pedaler og Bontrager karbon felger fra 2018 som total har gått ca 1000km. OBS: Ikke elektrisk giring .- Kan leveres Stord - Bømlo - Haugesund - Stavanger/ omeng, mulig også Hønefoss - Drammen - Oslo (etter avtale). Kan ta terrengsykkel av god kvalitet, el-sykkel som delbetaling.",4025 Stavanger,3.0,0,3,,5.0,58.0,20909.719,-21.089325986271337,good_deal,Good deal
452488901,https://www.finn.no/recommerce/forsale/item/452488901,2026-03-02T15:27:25.413Z,Nakamura landeveissykkel 53cm full karbon herre,7500.0,Godt brukt - Synlig brukt,,Herre,Landevei,Nakamura,,,53cm,,,1,0,0,"Selger en Nakamura landveissykkel i fullkarbon, størrelse 53 cm (passer for voksen). Sykkelen har nypris på 50 000 kr, veier ca. 7,2 kg og er laget for landeveiskjøring. Tilstand: • Godt brukt, med slitasje på felger og håndtak • Har stått oppbevart opphengt i lukket garasje de siste 6 årene • Alder gjør at den ikke er som ny, men fortsatt fantastisk god sykkel Perfekt for deg som ønsker en lett sykkel til trening eller turer, uten å betale full pris for en ny modell. Spesifikasjoner: • Fullkarbon ramme • 7,2 kg lettvekt • Str. 53 cm Pris kan diskuteres ved rask handel. Ta kontakt for bilder eller mer info Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",2016 Frogner,2.0,0,2,,5.0,53.0,7389.7163,1.4923941163749057,ok_deal,Good deal
450601047,https://www.finn.no/recommerce/forsale/item/450601047,2026-03-02T15:27:37.680Z,Gravelsykkel Ns Bikes RAG+ 2,20000.0,Som ny - Ikke synlig brukt,,Herre,Landevei,NS Bikes,RAG+ 2,,XL,,,0,0,0,"Størrelse XL Jeg brukte den to ganger, men så måtte jeg dessverre operere kneet, så jeg selger den. En ny koster 26 810. Prisen kan diskuteres. https://birk.no/no/articles/1.385.366468/gravelsykkel-ns-bikes-rag-2-hydro-raw?gad_source=1&gad_campaignid=21703436865&gbraid=0AAAAADKN85r0ozviDgVC01UamQERVSVCK&gclid=CjwKCAiAkvDMBhBMEiwAnUA9BdKvA8OahKIji5oRrHGxlGRMv7gJoah63quDWQRyAtIX5jjfD9Y-VhoCfxoQAvD_BwE",3275 Svarstad,4.0,0,1,,5.0,58.0,11467.962,74.39890496562562,bad_deal,Bad deal
452290105,https://www.finn.no/recommerce/forsale/item/452290105,2026-03-02T15:28:04.345Z,Trek Madone 4.5 Fullkarbon med utstyr selges,7000.0,Pent brukt - I god stand,,Herre,Landevei,Trek,Madone 4.5,,54cm,,Shimano Ultegra,1,0,0,"Selger en veldig pen utgave av Trek Madone 4.5 fullkarbon, med ultegra girsystem. Føler med felgsett som vist på bildet, verdi ca6-8000kr. Garmin 820 sykkelcomputer med fargedisplay og touch, verdi ny ca 3000. Original hjulsett fra Bontrager medfølger, pluss 2 nye dekk ( continental Grand Prix 5000), verdi ca 1200kr. Jeg har ikke fått sykla på denne sykkelen selv, da jeg hadde store ambisjoner om å starte, men ser at tiden strekker ikke til, og denne sykkelen fortjener å blir brukt.Rammestørrelse 54cm, Jeg er 171 og passer sykkelen godt, er forresten ny styretape også.",3145 Tjøme,3.0,4,3,,5.0,54.0,14732.477,-52.48592475064391,good_deal,Good deal
423757268,https://www.finn.no/recommerce/forsale/item/423757268,2026-03-02T15:28:11.244Z,Canyon Endurace CF SL 8 Disc eTap - SRAM Force AXS Powermeter - Large,34000.0,Pent brukt - I god stand,Canyon,Unisex,Landevei,Canyon,Endurace CF SL 8 Disc eTap,2022,L,700c,SRAM Force AXS,1,1,1,"2022-modell med SRAM Force 12-delt elektrisk utstyrsgruppe, inkludert krank-wattmåler og trådløs giring. 30 mm dekk på DT Swiss ERC 1400 dicut hjulsett. Kjøpt direkte frå Canyon i 2022 - 1 eigar. Størrelse L/Large. Vekt 7.8 kg. Følger med 2 Canyon-flaskeholdere og evt Garmin computer-feste. Skiftet kranklager, kjede og kassett 2025. Nye bremseklosser. Service hjulsett hausten 2025. https://99spokes.com/en-EU/bikes/canyon/2022/endurace-cf-sl-8-disc-etap",6823 Sandane,3.0,4,3,2022.0,4.0,56.0,49106.094,-30.762157191540002,good_deal,Good deal
451967283,https://www.finn.no/recommerce/forsale/item/451967283,2026-03-02T15:28:45.310Z,Merida Racelite 904,9500.0,Som ny - Ikke synlig brukt,Merida,,Landevei,Merida,Racelite 904,,M/L,700c,Shimano 105,0,0,0,"Merida Race Lite 904 – str. M/L (ca. 56 cm). Selger en pent brukt landeveissykkel i god teknisk stand. Ramme i lett aluminium med karbongaffel gir lav vekt og god komfort. Utstyrt med Shimano 105 2x10-drivverk, Shimano R561 felgbremser, og Fulcrum Racing Comp hjulsett. Perfekt for både trening og lengre turer – responsiv, lettkjørt og driftssikker.",2209 Kongsvinger,4.0,3,2,,5.0,54.0,11736.213,-19.053956429260996,ok_deal,Bad deal
416068946,https://www.finn.no/recommerce/forsale/item/416068946,2026-03-02T15:29:29.279Z,Gavia Verona Landeveissykkel i XL størrelse til salgs,13500.0,Som ny - Ikke synlig brukt,Andre merker,Herre,Landevei,Gavia,Verona,2019,XL,,Shimano Ultegra,1,0,0,"Selges til første som byr oppgitt pris!! Selger min Gavia Verona. Sykkelen ble kjøpt ny i 2019 og er blitt svært lite brukt grunnet overgang til andre hobbier. Sykkelen er ikke i daglig bruk og for å værer sikker på at ny eier blir fornøyd er det tatt helt ny stor service på sykkelen verdi nok 4500 slik at den fremstår som tipp topp for ny eier. Blant annet nye dekk, nytt kjede, ny kasett m.m. er utført på service. Sykkelen er en godt utstyrt landeveissykkel med karbonramme og Ultegra girsystem. Kommer også med Shimano Ultegra bremser. Pedaler følger med. Sykkelen er ca. 8,87 kg. Størrelse XL slik at den passer best for deg som er fra rundt 1.80 og høyere. Sykkelen må hentes i Oslo. Sykkelen selges ikke under oppgitt pris, så vennligst ingen henvendelser om skambud.",0558 Oslo,4.0,4,1,2019.0,7.0,58.0,20751.502,-34.944467969138906,good_deal,Good deal
428782163,https://www.finn.no/recommerce/forsale/item/428782163,2026-03-02T15:29:47.100Z,Orbea Orca Aero M20iltd Str.55,49000.0,Pent brukt - I god stand,Orbea,,Landevei,Orbea,Orca Aero M20iLTD,2025,55,700c,Shimano Ultegra Di2,1,1,1,"Sykkelen er godt ivaretatt tatt. Sykkelen har vært brukt rett over et halvt år og ble kjøpt mars 2025. Det er ramme størrelse 55 som passer personer mellom 180-185cm+- . Følger med unaas hjul eller original hjul (bilde 4) Ta kontakt om det er noe du lurer på:) • Ramme: Karbon, Aero design (Orca Aero OMX) • Gir: Shimano Ultegra Di2 12-delt (elektronisk giring) • Krank: Shimano Ultegra 52/36 • Kassett: 11–30 • Bremser: Shimano Ultegra hydrauliske skivebremser • Hjul: Karbonhjul (Oquo RP45 LTD) • Dekk: 30mm GP5000 • Setepinne: Aero karbon (integrert design) • Integrert styre og stem",0684 Oslo,3.0,4,3,2025.0,1.0,55.0,49141.37,-0.2876824366180132,ok_deal,OK deal
422540465,https://www.finn.no/recommerce/forsale/item/422540465,2026-03-02T15:30:05.607Z,Oppgradert landeveissykkel - Alt du vil ha - Factory RCE strl. 56,45000.0,Som ny - Ikke synlig brukt,,,Landevei,Gekko,Factory RCE,,56,700c,Shimano Ultegra Di2,1,1,1,"Strl. 56 Vurderer å selge min Gekko Factory RCE grunnet behov for penger. Sykkelen er i nærmest ny stand, kjørt under 500 km, og kan beskrives som demokjørt. Den har ingen riper eller merker og har blitt fulgt opp av noen av de beste sykkelmekanikerne i Oslo. Høydepunkter: - Shimano Ultegra Di2 - Full karbon ramme, sete og setepinne - Integrert karbon styre og stem - Karbon felger - Oppgradering av Kranklager Gekko Factory RCE er bygget på den samme lette karbonrammen som toppmodellen Team RCE, kombinert med integrert styre/stem-løsning og 50 mm høye karbonhjul for lav luftmotstand. Den er utstyrt med komplett Shimano Ultegra Di2, som gir lynrask og presis elektronisk giring. Hydrauliske Ultegra-skivebremser sørger for topp kontroll under alle forhold, og Pirelli P ZERO™ Road TLR-dekk gir både hastighet og godt grep. Sykkelen leveres med kvalitetskomponenter hele veien: krank og kasset fra Ultegra (50-34T / 11-30, 12-delt), KMC X12-kjede, Supacaz styretape og Selle Italia SLR Boost Superflow med karbonrails for optimal kombinasjon av komfort og ytelse. Kort sagt: dette er en lett, rask og aerodynamisk landeveissykkel i topp stand, som leverer både til trening og ritt. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",0254 Oslo,4.0,4,1,,5.0,56.0,37539.67,19.87318416059011,ok_deal,Good deal
431985291,https://www.finn.no/recommerce/forsale/item/431985291,2026-03-02T15:30:11.428Z,Standert Kreissäge Landeveissykkel 58cm,20000.0,Som ny - Ikke synlig brukt,,Herre,Landevei,Standert,Kreissäge,,58cm,,Shimano 105,0,0,0,"Custom bygget landeveissykkel med 58cm Standert Kreissäge aluramme. Standert er designet i Berlin og bygget i Italia. Utstyrt med siste modell Shimano 105 gruppe. Dvs 2x12 trinns mekaniske gir med hydrauliske skivebremser og 160 mm skiver foran og bak. Kranken er 34-50 delt og 172,5 mm krankarmer. Kassett er 11-34. Hjulene er DT Swiss P1800 med Schwalbe Pro One 30 mm bredde, satt opp slangeløst. Zipp setepinne, styre (42cm) og stem (6gr/90mm). Arundel krom flaskeholdere og Standert flasker medfølger. Inpeak wattmåler krankarm samt Time expresso 4 pedaler kan medfølge mot tillegg . Wattmåler kr. 3000,- Pedaler kr. 600,- Kun ramme inkl. kranklager, seteklemme og styrelager kan kjøpes for kr. 8000,- + frakt. Denne rammen har utvendig kabling for mekaniske gir, foretrekkes av mange foran integrerte kabler med tanke på vedlikehold. Passer også perfekt for oppgradering til trådløse girsystem, alle originale smådeler medfølger for tetting av hull. Selger denne med tungt hjerte da jeg har for mange sykler, sykkelen er lynrask og morsom og svært retningsstabil, men er ikke en typisk ""komfort-racer"", hvis man er ute etter det. Har likevel syklet 4-500 km på denne og ikke merket at den er plagsomt hard eller spesielt ukomfortabel. Men sånt er jo individuelt, og avhengig av hva man er vant til. Kan sendes, men da med hjulene i separat eske. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",9024 Tomasjord,4.0,3,1,,5.0,58.0,12169.668,64.34302111904117,bad_deal,OK deal
